district,state,year,quarter,registered_users,app_openings
jalore district,rajasthan,2018,1,35230,0
bikaner district,rajasthan,2018,1,86986,0
sikar district,rajasthan,2018,1,133983,0
dholpur district,rajasthan,2018,1,22160,0
sirohi district,rajasthan,2018,1,30697,0
rajsamand district,rajasthan,2018,1,29111,0
jaisalmer district,rajasthan,2018,1,21619,0
bundi district,rajasthan,2018,1,33190,0
jhalawar district,rajasthan,2018,1,34416,0
alwar district,rajasthan,2018,1,203096,0
kota district,rajasthan,2018,1,141411,0
jhunjhunu district,rajasthan,2018,1,98912,0
pali district,rajasthan,2018,2,81711,0
ganganagar district,rajasthan,2018,2,118537,0
churu district,rajasthan,2018,2,89207,0
jaipur district,rajasthan,2018,2,1182983,0
baran district,rajasthan,2018,2,45406,0
bhilwara district,rajasthan,2018,2,149055,0
banswara district,rajasthan,2018,2,25823,0
dungarpur district,rajasthan,2018,2,23272,0
tonk district,rajasthan,2018,2,69812,0
jodhpur district,rajasthan,2018,2,229215,0
karauli district,rajasthan,2018,2,52721,0
udaipur district,rajasthan,2018,2,146348,0
dausa district,rajasthan,2018,2,104199,0
nagaur district,rajasthan,2018,2,138240,0
bharatpur district,rajasthan,2018,2,96668,0
barmer district,rajasthan,2018,2,80550,0
ajmer district,rajasthan,2018,2,157947,0
chittorgarh district,rajasthan,2018,2,79200,0
hanumangarh district,rajasthan,2018,2,81080,0
pratapgarh district,rajasthan,2018,2,17572,0
sawai madhopur district,rajasthan,2018,2,72393,0
jalore district,rajasthan,2018,2,47533,0
bikaner district,rajasthan,2018,2,117098,0
sikar district,rajasthan,2018,2,178308,0
dholpur district,rajasthan,2018,2,30288,0
sirohi district,rajasthan,2018,2,40915,0
rajsamand district,rajasthan,2018,2,39843,0
jaisalmer district,rajasthan,2018,2,29696,0
bundi district,rajasthan,2018,2,45475,0
jhalawar district,rajasthan,2018,2,47020,0
alwar district,rajasthan,2018,2,275869,0
kota district,rajasthan,2018,2,184759,0
jhunjhunu district,rajasthan,2018,2,134221,0
pali district,rajasthan,2018,3,101547,0
ganganagar district,rajasthan,2018,3,142855,0
churu district,rajasthan,2018,3,109711,0
jaipur district,rajasthan,2018,3,1438305,0
baran district,rajasthan,2018,3,56723,0
bhilwara district,rajasthan,2018,3,184376,0
banswara district,rajasthan,2018,3,32411,0
dungarpur district,rajasthan,2018,3,28921,0
tonk district,rajasthan,2018,3,87896,0
jodhpur district,rajasthan,2018,3,278965,0
karauli district,rajasthan,2018,3,66878,0
udaipur district,rajasthan,2018,3,176698,0
dausa district,rajasthan,2018,3,129378,0
nagaur district,rajasthan,2018,3,170749,0
bharatpur district,rajasthan,2018,3,122606,0
barmer district,rajasthan,2018,3,102055,0
ajmer district,rajasthan,2018,3,193489,0
chittorgarh district,rajasthan,2018,3,98403,0
hanumangarh district,rajasthan,2018,3,97960,0
pratapgarh district,rajasthan,2018,3,22277,0
sawai madhopur district,rajasthan,2018,3,89420,0
jalore district,rajasthan,2018,3,61847,0
bikaner district,rajasthan,2018,3,143790,0
sikar district,rajasthan,2018,3,216465,0
dholpur district,rajasthan,2018,3,38748,0
sirohi district,rajasthan,2018,3,50897,0
rajsamand district,rajasthan,2018,3,50283,0
jaisalmer district,rajasthan,2018,3,37997,0
bundi district,rajasthan,2018,3,56771,0
jhalawar district,rajasthan,2018,3,60666,0
alwar district,rajasthan,2018,3,345018,0
kota district,rajasthan,2018,3,218406,0
jhunjhunu district,rajasthan,2018,3,162942,0
pali district,rajasthan,2018,4,131779,0
ganganagar district,rajasthan,2018,4,177343,0
churu district,rajasthan,2018,4,136526,0
jaipur district,rajasthan,2018,4,1733893,0
baran district,rajasthan,2018,4,69618,0
bhilwara district,rajasthan,2018,4,225409,0
banswara district,rajasthan,2018,4,39870,0
dungarpur district,rajasthan,2018,4,36209,0
tonk district,rajasthan,2018,4,108182,0
jodhpur district,rajasthan,2018,4,352924,0
karauli district,rajasthan,2018,4,83730,0
udaipur district,rajasthan,2018,4,216089,0
dausa district,rajasthan,2018,4,159826,0
nagaur district,rajasthan,2018,4,210067,0
bharatpur district,rajasthan,2018,4,153239,0
barmer district,rajasthan,2018,4,133426,0
ajmer district,rajasthan,2018,4,237037,0
chittorgarh district,rajasthan,2018,4,119954,0
hanumangarh district,rajasthan,2018,4,119418,0
pratapgarh district,rajasthan,2018,4,27122,0
sawai madhopur district,rajasthan,2018,4,109006,0
jalore district,rajasthan,2018,4,81063,0
bikaner district,rajasthan,2018,4,176734,0
sikar district,rajasthan,2018,4,262310,0
dholpur district,rajasthan,2018,4,48912,0
sirohi district,rajasthan,2018,4,64717,0
rajsamand district,rajasthan,2018,4,64037,0
jaisalmer district,rajasthan,2018,4,48941,0
bundi district,rajasthan,2018,4,70036,0
jhalawar district,rajasthan,2018,4,75398,0
alwar district,rajasthan,2018,4,426052,0
kota district,rajasthan,2018,4,263264,0
jhunjhunu district,rajasthan,2018,4,196607,0
east godavari district,andhra-pradesh,2022,1,2432305,87134562
srikakulam district,andhra-pradesh,2022,1,1027283,46691467
visakhapatnam district,andhra-pradesh,2022,1,3061324,88803090
prakasam district,andhra-pradesh,2022,1,1408929,104851997
anantapur district,andhra-pradesh,2022,1,1827094,155792533
kurnool district,andhra-pradesh,2022,1,1729513,119653214
guntur district,andhra-pradesh,2022,1,2387051,88844052
krishna district,andhra-pradesh,2022,1,2423373,85871644
spsr nellore district,andhra-pradesh,2022,1,1431664,101671767
vizianagaram district,andhra-pradesh,2022,1,892889,44804002
ysr district,andhra-pradesh,2022,1,1339782,98878499
west godavari district,andhra-pradesh,2022,1,1626039,87642475
chittoor district,andhra-pradesh,2022,1,2270705,144146671
east godavari district,andhra-pradesh,2022,2,2564165,93383888
srikakulam district,andhra-pradesh,2022,2,1086164,51087942
visakhapatnam district,andhra-pradesh,2022,2,3226029,93552701
prakasam district,andhra-pradesh,2022,2,1487589,108172758
anantapur district,andhra-pradesh,2022,2,1928213,181499094
kurnool district,andhra-pradesh,2022,2,1825280,136447455
guntur district,andhra-pradesh,2022,2,2514794,91997209
krishna district,andhra-pradesh,2022,2,2552107,95341487
spsr nellore district,andhra-pradesh,2022,2,1509927,108755384
vizianagaram district,andhra-pradesh,2022,2,943242,50230853
ysr district,andhra-pradesh,2022,2,1412848,106157470
west godavari district,andhra-pradesh,2022,2,1714357,103338893
chittoor district,andhra-pradesh,2022,2,2392549,158771722
east godavari district,andhra-pradesh,2022,3,2702234,85780890
srikakulam district,andhra-pradesh,2022,3,1147016,46323107
visakhapatnam district,andhra-pradesh,2022,3,3397514,87888969
prakasam district,andhra-pradesh,2022,3,1567520,114185009
anantapur district,andhra-pradesh,2022,3,2030824,181038520
kurnool district,andhra-pradesh,2022,3,1924127,143715547
guntur district,andhra-pradesh,2022,3,2647100,91146114
krishna district,andhra-pradesh,2022,3,2685215,86220959
spsr nellore district,andhra-pradesh,2022,3,1588875,105928407
vizianagaram district,andhra-pradesh,2022,3,995141,46767889
ysr district,andhra-pradesh,2022,3,1487140,107976611
west godavari district,andhra-pradesh,2022,3,1805967,97509407
chittoor district,andhra-pradesh,2022,3,2517657,162524274
east godavari district,andhra-pradesh,2022,4,2835087,173720880
srikakulam district,andhra-pradesh,2022,4,1204785,72666058
visakhapatnam district,andhra-pradesh,2022,4,3566854,208604256
prakasam district,andhra-pradesh,2022,4,1642503,94432083
anantapur district,andhra-pradesh,2022,4,2128066,136685634
kurnool district,andhra-pradesh,2022,4,2018290,105333688
guntur district,andhra-pradesh,2022,4,2774365,144773169
krishna district,andhra-pradesh,2022,4,2813645,156902257
spsr nellore district,andhra-pradesh,2022,4,1663684,103101986
vizianagaram district,andhra-pradesh,2022,4,1044490,64406405
ysr district,andhra-pradesh,2022,4,1556901,93975668
west godavari district,andhra-pradesh,2022,4,1893310,129116752
chittoor district,andhra-pradesh,2022,4,2636036,189655966
east godavari district,andhra-pradesh,2023,1,2965296,98931582
srikakulam district,andhra-pradesh,2023,1,1263204,48743038
visakhapatnam district,andhra-pradesh,2023,1,3732544,107253885
prakasam district,andhra-pradesh,2023,1,1719910,112502189
anantapur district,andhra-pradesh,2023,1,2228505,177793392
kurnool district,andhra-pradesh,2023,1,2114023,149581663
guntur district,andhra-pradesh,2023,1,2900895,103514892
krishna district,andhra-pradesh,2023,1,2941585,98727644
spsr nellore district,andhra-pradesh,2023,1,1740294,111993275
vizianagaram district,andhra-pradesh,2023,1,1094782,55519223
ysr district,andhra-pradesh,2023,1,1628595,109842928
west godavari district,andhra-pradesh,2023,1,1980446,102965151
chittoor district,andhra-pradesh,2023,1,2755784,164669558
east godavari district,andhra-pradesh,2023,2,3082893,101375784
srikakulam district,andhra-pradesh,2023,2,1317771,48040159
visakhapatnam district,andhra-pradesh,2023,2,3877504,115516314
prakasam district,andhra-pradesh,2023,2,1792637,104288559
anantapur district,andhra-pradesh,2023,2,2323796,164437247
kurnool district,andhra-pradesh,2023,2,2202517,142843895
guntur district,andhra-pradesh,2023,2,3014655,97915941
krishna district,andhra-pradesh,2023,2,3054956,99723659
spsr nellore district,andhra-pradesh,2023,2,1811781,113350865
vizianagaram district,andhra-pradesh,2023,2,1141578,55405616
ysr district,andhra-pradesh,2023,2,1694843,98586928
west godavari district,andhra-pradesh,2023,2,2059880,116005083
chittoor district,andhra-pradesh,2023,2,2865250,170462384
east godavari district,andhra-pradesh,2019,1,839277,0
srikakulam district,andhra-pradesh,2019,1,345775,0
visakhapatnam district,andhra-pradesh,2019,1,1174517,0
prakasam district,andhra-pradesh,2019,1,474260,0
anantapur district,andhra-pradesh,2019,1,612162,0
kurnool district,andhra-pradesh,2019,1,599422,0
guntur district,andhra-pradesh,2019,1,802394,0
krishna district,andhra-pradesh,2019,1,833694,0
spsr nellore district,andhra-pradesh,2019,1,491908,0
vizianagaram district,andhra-pradesh,2019,1,313334,0
ysr district,andhra-pradesh,2019,1,460590,0
west godavari district,andhra-pradesh,2019,1,523372,0
chittoor district,andhra-pradesh,2019,1,812314,0
east godavari district,andhra-pradesh,2019,2,945181,7156762
srikakulam district,andhra-pradesh,2019,2,392764,3230330
visakhapatnam district,andhra-pradesh,2019,2,1318740,13681907
prakasam district,andhra-pradesh,2019,2,539462,4488365
anantapur district,andhra-pradesh,2019,2,695114,6056591
kurnool district,andhra-pradesh,2019,2,680118,6240480
guntur district,andhra-pradesh,2019,2,915256,7268875
krishna district,andhra-pradesh,2019,2,952300,7822632
spsr nellore district,andhra-pradesh,2019,2,558303,4774473
vizianagaram district,andhra-pradesh,2019,2,355058,3541678
ysr district,andhra-pradesh,2019,2,519031,4345848
west godavari district,andhra-pradesh,2019,2,592185,3853094
chittoor district,andhra-pradesh,2019,2,925491,8914216
east godavari district,andhra-pradesh,2019,3,1057167,28275322
srikakulam district,andhra-pradesh,2019,3,437939,11813195
visakhapatnam district,andhra-pradesh,2019,3,1460464,54836001
prakasam district,andhra-pradesh,2019,3,598568,16267041
anantapur district,andhra-pradesh,2019,3,773656,22845084
kurnool district,andhra-pradesh,2019,3,755024,22827473
guntur district,andhra-pradesh,2019,3,1026418,28477132
krishna district,andhra-pradesh,2019,3,1066546,30077671
spsr nellore district,andhra-pradesh,2019,3,619592,17768733
vizianagaram district,andhra-pradesh,2019,3,394375,13065845
ysr district,andhra-pradesh,2019,3,574109,15833900
west godavari district,andhra-pradesh,2019,3,662102,14227407
chittoor district,andhra-pradesh,2019,3,1032733,34638738
east godavari district,andhra-pradesh,2019,4,1195228,38299189
srikakulam district,andhra-pradesh,2019,4,496266,16353822
visakhapatnam district,andhra-pradesh,2019,4,1620235,70749983
prakasam district,andhra-pradesh,2019,4,673522,21639748
anantapur district,andhra-pradesh,2019,4,873033,30278539
kurnool district,andhra-pradesh,2019,4,846885,29676997
guntur district,andhra-pradesh,2019,4,1158708,37846179
krishna district,andhra-pradesh,2019,4,1199971,39407473
spsr nellore district,andhra-pradesh,2019,4,697154,23608360
vizianagaram district,andhra-pradesh,2019,4,443810,17515311
ysr district,andhra-pradesh,2019,4,646642,21543798
west godavari district,andhra-pradesh,2019,4,750078,19393528
chittoor district,andhra-pradesh,2019,4,1156351,44888591
east godavari district,andhra-pradesh,2021,1,1878769,91478749
srikakulam district,andhra-pradesh,2021,1,782604,40590058
visakhapatnam district,andhra-pradesh,2021,1,2368081,135908324
prakasam district,andhra-pradesh,2021,1,1075936,56911479
anantapur district,andhra-pradesh,2021,1,1394849,73375049
kurnool district,andhra-pradesh,2021,1,1323411,65326230
guntur district,andhra-pradesh,2021,1,1843237,92731167
krishna district,andhra-pradesh,2021,1,1876458,92941553
spsr nellore district,andhra-pradesh,2021,1,1100541,60691988
vizianagaram district,andhra-pradesh,2021,1,681621,37752539
ysr district,andhra-pradesh,2021,1,1032689,53525815
west godavari district,andhra-pradesh,2021,1,1254117,57392671
chittoor district,andhra-pradesh,2021,1,1751420,99083825
east godavari district,andhra-pradesh,2021,2,2006272,84705076
srikakulam district,andhra-pradesh,2021,2,837958,43740255
visakhapatnam district,andhra-pradesh,2021,2,2526830,114313154
prakasam district,andhra-pradesh,2021,2,1151232,76850749
anantapur district,andhra-pradesh,2021,2,1492738,104568606
kurnool district,andhra-pradesh,2021,2,1415585,81894678
guntur district,andhra-pradesh,2021,2,1968681,88248064
krishna district,andhra-pradesh,2021,2,2002662,85771678
spsr nellore district,andhra-pradesh,2021,2,1176334,74049216
vizianagaram district,andhra-pradesh,2021,2,729509,42684475
ysr district,andhra-pradesh,2021,2,1103004,72255265
west godavari district,andhra-pradesh,2021,2,1339377,65118788
chittoor district,andhra-pradesh,2021,2,1870723,110505432
east godavari district,andhra-pradesh,2021,3,2150622,103626560
srikakulam district,andhra-pradesh,2021,3,902008,48622126
visakhapatnam district,andhra-pradesh,2021,3,2707931,139540800
prakasam district,andhra-pradesh,2021,3,1239147,91533813
anantapur district,andhra-pradesh,2021,3,1606735,124985545
kurnool district,andhra-pradesh,2021,3,1522196,101210508
guntur district,andhra-pradesh,2021,3,2110878,106621413
krishna district,andhra-pradesh,2021,3,2145423,104358295
spsr nellore district,andhra-pradesh,2021,3,1263550,90102349
vizianagaram district,andhra-pradesh,2021,3,784444,46277311
ysr district,andhra-pradesh,2021,3,1183377,86369956
west godavari district,andhra-pradesh,2021,3,1436576,80244808
chittoor district,andhra-pradesh,2021,3,2007011,135043395
east godavari district,andhra-pradesh,2021,4,2294347,142536856
srikakulam district,andhra-pradesh,2021,4,965335,61654215
visakhapatnam district,andhra-pradesh,2021,4,2888774,188757640
prakasam district,andhra-pradesh,2021,4,1325728,86410317
anantapur district,andhra-pradesh,2021,4,1719437,120768682
kurnool district,andhra-pradesh,2021,4,1628242,97379271
guntur district,andhra-pradesh,2021,4,2252443,130920743
krishna district,andhra-pradesh,2021,4,2288148,134436469
spsr nellore district,andhra-pradesh,2021,4,1349290,90814672
vizianagaram district,andhra-pradesh,2021,4,839606,56101822
ysr district,andhra-pradesh,2021,4,1262963,83534122
west godavari district,andhra-pradesh,2021,4,1532898,100007280
chittoor district,andhra-pradesh,2021,4,2141818,154395512
east godavari district,andhra-pradesh,2020,1,1329664,46142746
srikakulam district,andhra-pradesh,2020,1,552007,20975989
visakhapatnam district,andhra-pradesh,2020,1,1763581,77558624
prakasam district,andhra-pradesh,2020,1,748655,26870693
anantapur district,andhra-pradesh,2020,1,971850,36900103
kurnool district,andhra-pradesh,2020,1,936293,34198350
guntur district,andhra-pradesh,2020,1,1289678,45282758
krishna district,andhra-pradesh,2020,1,1331602,46079408
spsr nellore district,andhra-pradesh,2020,1,775440,28879364
vizianagaram district,andhra-pradesh,2020,1,490683,21562104
ysr district,andhra-pradesh,2020,1,717865,26166193
west godavari district,andhra-pradesh,2020,1,843835,24542868
chittoor district,andhra-pradesh,2020,1,1270907,51354573
east godavari district,andhra-pradesh,2020,2,1459116,45884498
srikakulam district,andhra-pradesh,2020,2,608002,23808009
visakhapatnam district,andhra-pradesh,2020,2,1904719,69684456
prakasam district,andhra-pradesh,2020,2,830709,32255276
anantapur district,andhra-pradesh,2020,2,1076953,39704703
kurnool district,andhra-pradesh,2020,2,1035093,36268390
guntur district,andhra-pradesh,2020,2,1426271,44267596
krishna district,andhra-pradesh,2020,2,1459041,41234166
spsr nellore district,andhra-pradesh,2020,2,854459,30816403
vizianagaram district,andhra-pradesh,2020,2,537798,24370380
ysr district,andhra-pradesh,2020,2,796769,29644037
west godavari district,andhra-pradesh,2020,2,944829,26583613
chittoor district,andhra-pradesh,2020,2,1385916,49820171
east godavari district,andhra-pradesh,2020,3,1601940,64292857
srikakulam district,andhra-pradesh,2020,3,667858,31794753
visakhapatnam district,andhra-pradesh,2020,3,2058346,102589371
prakasam district,andhra-pradesh,2020,3,915240,44970519
anantapur district,andhra-pradesh,2020,3,1186851,55714787
kurnool district,andhra-pradesh,2020,3,1132240,49164718
guntur district,andhra-pradesh,2020,3,1567595,62427501
krishna district,andhra-pradesh,2020,3,1599289,61028114
spsr nellore district,andhra-pradesh,2020,3,937176,43951448
vizianagaram district,andhra-pradesh,2020,3,587784,31199437
ysr district,andhra-pradesh,2020,3,877909,41578067
west godavari district,andhra-pradesh,2020,3,1053674,38126238
chittoor district,andhra-pradesh,2020,3,1506503,69462572
east godavari district,andhra-pradesh,2020,4,1746280,82605352
srikakulam district,andhra-pradesh,2020,4,726761,36770992
visakhapatnam district,andhra-pradesh,2020,4,2209658,124730170
prakasam district,andhra-pradesh,2020,4,999462,52839846
anantapur district,andhra-pradesh,2020,4,1295872,69562398
kurnool district,andhra-pradesh,2020,4,1230466,60615045
guntur district,andhra-pradesh,2020,4,1712940,81291172
krishna district,andhra-pradesh,2020,4,1744028,81787771
spsr nellore district,andhra-pradesh,2020,4,1022944,54765443
vizianagaram district,andhra-pradesh,2020,4,634462,35110885
ysr district,andhra-pradesh,2020,4,959182,49596303
west godavari district,andhra-pradesh,2020,4,1163179,51170162
chittoor district,andhra-pradesh,2020,4,1631331,88232999
east godavari district,andhra-pradesh,2018,1,350356,0
srikakulam district,andhra-pradesh,2018,1,143839,0
visakhapatnam district,andhra-pradesh,2018,1,497187,0
prakasam district,andhra-pradesh,2018,1,189949,0
anantapur district,andhra-pradesh,2018,1,241192,0
kurnool district,andhra-pradesh,2018,1,240133,0
guntur district,andhra-pradesh,2018,1,317065,0
krishna district,andhra-pradesh,2018,1,323673,0
spsr nellore district,andhra-pradesh,2018,1,194475,0
vizianagaram district,andhra-pradesh,2018,1,128905,0
ysr district,andhra-pradesh,2018,1,186800,0
west godavari district,andhra-pradesh,2018,1,213335,0
chittoor district,andhra-pradesh,2018,1,309541,0
east godavari district,andhra-pradesh,2018,2,454398,0
srikakulam district,andhra-pradesh,2018,2,186913,0
visakhapatnam district,andhra-pradesh,2018,2,636052,0
prakasam district,andhra-pradesh,2018,2,253458,0
anantapur district,andhra-pradesh,2018,2,326383,0
kurnool district,andhra-pradesh,2018,2,319313,0
guntur district,andhra-pradesh,2018,2,420326,0
krishna district,andhra-pradesh,2018,2,431965,0
spsr nellore district,andhra-pradesh,2018,2,261049,0
vizianagaram district,andhra-pradesh,2018,2,167327,0
ysr district,andhra-pradesh,2018,2,248657,0
west godavari district,andhra-pradesh,2018,2,282393,0
chittoor district,andhra-pradesh,2018,2,414306,0
east godavari district,andhra-pradesh,2018,3,558982,0
srikakulam district,andhra-pradesh,2018,3,228456,0
visakhapatnam district,andhra-pradesh,2018,3,769096,0
prakasam district,andhra-pradesh,2018,3,314899,0
anantapur district,andhra-pradesh,2018,3,405855,0
kurnool district,andhra-pradesh,2018,3,394311,0
guntur district,andhra-pradesh,2018,3,518931,0
krishna district,andhra-pradesh,2018,3,537086,0
spsr nellore district,andhra-pradesh,2018,3,322446,0
vizianagaram district,andhra-pradesh,2018,3,203655,0
ysr district,andhra-pradesh,2018,3,308391,0
west godavari district,andhra-pradesh,2018,3,349782,0
chittoor district,andhra-pradesh,2018,3,515727,0
east godavari district,andhra-pradesh,2018,4,694455,0
srikakulam district,andhra-pradesh,2018,4,284874,0
visakhapatnam district,andhra-pradesh,2018,4,978288,0
prakasam district,andhra-pradesh,2018,4,394962,0
anantapur district,andhra-pradesh,2018,4,510892,0
kurnool district,andhra-pradesh,2018,4,498582,0
guntur district,andhra-pradesh,2018,4,659552,0
krishna district,andhra-pradesh,2018,4,682479,0
spsr nellore district,andhra-pradesh,2018,4,407495,0
vizianagaram district,andhra-pradesh,2018,4,257824,0
ysr district,andhra-pradesh,2018,4,387058,0
west godavari district,andhra-pradesh,2018,4,435668,0
chittoor district,andhra-pradesh,2018,4,665280,0
chandigarh district,chandigarh,2022,1,541549,2321685
chandigarh district,chandigarh,2022,2,569582,2285979
chandigarh district,chandigarh,2022,3,598698,2173356
chandigarh district,chandigarh,2022,4,627563,15308862
chandigarh district,chandigarh,2023,1,654522,2001065
chandigarh district,chandigarh,2023,2,678662,1978988
chandigarh district,chandigarh,2019,1,209175,0
chandigarh district,chandigarh,2019,2,240439,1220176
chandigarh district,chandigarh,2019,3,267337,4625196
chandigarh district,chandigarh,2019,4,289590,4960441
chandigarh district,chandigarh,2021,1,419998,7919533
chandigarh district,chandigarh,2021,2,448572,4733924
chandigarh district,chandigarh,2021,3,480463,6378807
chandigarh district,chandigarh,2021,4,512092,11603954
chandigarh district,chandigarh,2020,1,312887,5201211
chandigarh district,chandigarh,2020,2,336351,3451250
chandigarh district,chandigarh,2020,3,362588,4888739
chandigarh district,chandigarh,2020,4,391402,6477974
chandigarh district,chandigarh,2018,1,86268,0
chandigarh district,chandigarh,2018,2,115219,0
chandigarh district,chandigarh,2018,3,143893,0
chandigarh district,chandigarh,2018,4,177747,0
thiruvananthapuram district,kerala,2022,1,989791,5574116
kasaragod district,kerala,2022,1,294943,5220451
malappuram district,kerala,2022,1,871127,9688261
pathanamthitta district,kerala,2022,1,271165,4036616
wayanad district,kerala,2022,1,234308,6349929
alappuzha district,kerala,2022,1,534116,2971951
kozhikode district,kerala,2022,1,887215,8824744
kollam district,kerala,2022,1,623472,4995465
thrissur district,kerala,2022,1,768604,5764628
palakkad district,kerala,2022,1,620428,9057055
kannur district,kerala,2022,1,640842,8394165
kottayam district,kerala,2022,1,504349,4454903
ernakulam district,kerala,2022,1,1454447,8812130
idukki district,kerala,2022,1,277492,9903479
thiruvananthapuram district,kerala,2022,2,1041643,5205518
kasaragod district,kerala,2022,2,309835,6295837
malappuram district,kerala,2022,2,915204,9789246
pathanamthitta district,kerala,2022,2,285622,3462591
wayanad district,kerala,2022,2,246673,7011213
alappuzha district,kerala,2022,2,563253,3130200
kozhikode district,kerala,2022,2,932060,9263814
kollam district,kerala,2022,2,657033,5093583
thrissur district,kerala,2022,2,808727,5650708
palakkad district,kerala,2022,2,653051,9694658
kannur district,kerala,2022,2,673887,9375321
kottayam district,kerala,2022,2,531625,5282278
ernakulam district,kerala,2022,2,1531113,8132654
idukki district,kerala,2022,2,292807,11488771
thiruvananthapuram district,kerala,2022,3,1095580,5022977
kasaragod district,kerala,2022,3,325218,6664472
malappuram district,kerala,2022,3,961854,10102534
pathanamthitta district,kerala,2022,3,301025,3433193
wayanad district,kerala,2022,3,259233,7609643
alappuzha district,kerala,2022,3,593932,2997077
kozhikode district,kerala,2022,3,978992,9370370
kollam district,kerala,2022,3,692226,5343177
thrissur district,kerala,2022,3,851462,5943980
palakkad district,kerala,2022,3,687131,11390747
kannur district,kerala,2022,3,708205,10396280
kottayam district,kerala,2022,3,560099,4928594
ernakulam district,kerala,2022,3,1611052,8148392
idukki district,kerala,2022,3,307968,13214397
thiruvananthapuram district,kerala,2022,4,1146770,33100692
kasaragod district,kerala,2022,4,338388,12808213
malappuram district,kerala,2022,4,1003617,37725553
pathanamthitta district,kerala,2022,4,314210,9572683
wayanad district,kerala,2022,4,270179,15089566
alappuzha district,kerala,2022,4,622234,18999526
kozhikode district,kerala,2022,4,1022289,38157103
kollam district,kerala,2022,4,724767,23525755
thrissur district,kerala,2022,4,889949,22786290
palakkad district,kerala,2022,4,717320,27381415
kannur district,kerala,2022,4,738843,25180742
kottayam district,kerala,2022,4,585546,17988479
ernakulam district,kerala,2022,4,1687311,53387728
idukki district,kerala,2022,4,320679,11278104
thiruvananthapuram district,kerala,2023,1,1196164,5790866
kasaragod district,kerala,2023,1,352199,7272460
malappuram district,kerala,2023,1,1043945,11327999
pathanamthitta district,kerala,2023,1,327848,4496002
wayanad district,kerala,2023,1,281511,7462010
alappuzha district,kerala,2023,1,649660,3956500
kozhikode district,kerala,2023,1,1063764,10336755
kollam district,kerala,2023,1,756282,5731050
thrissur district,kerala,2023,1,927648,5348184
palakkad district,kerala,2023,1,747944,11955428
kannur district,kerala,2023,1,769407,11743750
kottayam district,kerala,2023,1,611048,5890990
ernakulam district,kerala,2023,1,1760620,8892815
idukki district,kerala,2023,1,334683,16191071
thiruvananthapuram district,kerala,2023,2,1241042,6354892
kasaragod district,kerala,2023,2,365799,7727594
malappuram district,kerala,2023,2,1082848,11475040
pathanamthitta district,kerala,2023,2,340929,4397954
wayanad district,kerala,2023,2,292600,7246631
alappuzha district,kerala,2023,2,675625,3829674
kozhikode district,kerala,2023,2,1102669,8793853
kollam district,kerala,2023,2,786161,6933075
thrissur district,kerala,2023,2,963142,5302267
palakkad district,kerala,2023,2,777224,13375973
kannur district,kerala,2023,2,798378,10810493
kottayam district,kerala,2023,2,635322,6941205
ernakulam district,kerala,2023,2,1826879,9272340
idukki district,kerala,2023,2,348723,18849803
thiruvananthapuram district,kerala,2019,1,239634,0
kasaragod district,kerala,2019,1,59697,0
malappuram district,kerala,2019,1,206857,0
pathanamthitta district,kerala,2019,1,60107,0
wayanad district,kerala,2019,1,49356,0
alappuzha district,kerala,2019,1,114882,0
kozhikode district,kerala,2019,1,212403,0
kollam district,kerala,2019,1,125697,0
thrissur district,kerala,2019,1,184516,0
palakkad district,kerala,2019,1,145211,0
kannur district,kerala,2019,1,143289,0
kottayam district,kerala,2019,1,121975,0
ernakulam district,kerala,2019,1,409812,0
idukki district,kerala,2019,1,63188,0
thiruvananthapuram district,kerala,2019,2,288292,1135131
kasaragod district,kerala,2019,2,73129,217303
malappuram district,kerala,2019,2,243384,723654
pathanamthitta district,kerala,2019,2,73032,207058
wayanad district,kerala,2019,2,60200,203388
alappuzha district,kerala,2019,2,139046,426583
kozhikode district,kerala,2019,2,251348,851952
kollam district,kerala,2019,2,152841,468261
thrissur district,kerala,2019,2,220648,709813
palakkad district,kerala,2019,2,174037,593468
kannur district,kerala,2019,2,172894,521458
kottayam district,kerala,2019,2,145387,438323
ernakulam district,kerala,2019,2,479320,1927424
idukki district,kerala,2019,2,76609,249404
thiruvananthapuram district,kerala,2019,3,340900,4182693
kasaragod district,kerala,2019,3,86660,767969
malappuram district,kerala,2019,3,282514,2453834
pathanamthitta district,kerala,2019,3,85982,734361
wayanad district,kerala,2019,3,71761,716214
alappuzha district,kerala,2019,3,166845,1628789
kozhikode district,kerala,2019,3,294333,3172854
kollam district,kerala,2019,3,183743,1799822
thrissur district,kerala,2019,3,259366,2510843
palakkad district,kerala,2019,3,202761,2057447
kannur district,kerala,2019,3,204129,1838589
kottayam district,kerala,2019,3,169581,1542321
ernakulam district,kerala,2019,3,553200,7217455
idukki district,kerala,2019,3,89188,848503
thiruvananthapuram district,kerala,2019,4,400110,5279003
kasaragod district,kerala,2019,4,101775,998295
malappuram district,kerala,2019,4,333816,3211891
pathanamthitta district,kerala,2019,4,100709,1038075
wayanad district,kerala,2019,4,85420,940411
alappuzha district,kerala,2019,4,198940,2160282
kozhikode district,kerala,2019,4,345534,4018300
kollam district,kerala,2019,4,221687,2422066
thrissur district,kerala,2019,4,302503,3090870
palakkad district,kerala,2019,4,237650,2541409
kannur district,kerala,2019,4,240296,2379718
kottayam district,kerala,2019,4,197540,2010069
ernakulam district,kerala,2019,4,633101,8838605
